code,current,name,gender,function,category,organisation_code,organisation,organisation_long,disciplines,birth_date
1536406,TRUE,FRATINI Elisabetta,Female,Referee,J,ITA,Italy,Italy,['Judo'],
1550583,TRUE,ILIC Corina,Female,Referee,J,CRO,Croatia,Croatia,['Judo'],
1550593,TRUE,MAAFI Ziad,Male,Referee,J,ALG,Algeria,Algeria,['Judo'],
1550642,TRUE,FUMEA Maria,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550643,TRUE,LEUNG Li Li,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550645,TRUE,MIAO Zhongyi,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550646,TRUE,VALENZO AOKI Naomi Chieko,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550647,TRUE,AL HITMI Ali,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550648,TRUE,AL TABBAA Mouhammed Youssef,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550649,TRUE,CELEN Suat,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550650,TRUE,ESAWY Ehab,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550651,TRUE,YAGI KITAGAWA Tammy,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550652,TRUE,VALERIO Rogerio,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550653,TRUE,MOWBRAY Denis,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550654,TRUE,PEGAN Aljaz,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550655,TRUE,PENICHE FRANCO Alejandro,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550656,TRUE,PERRIERE Charles,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550657,TRUE,TAEYMANS Rosy,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550662,TRUE,ACOSTA RODRIGUEZ Laura Patricia,Female,Judge,J,FIG,FIG,International Gymnastics Federation,['Rhythmic Gymnastics'],17-11-1964
